updated_at;event_type;external_user_id;time;timezone;campaign_id;campaign_name;message_variation_id;canvas_id;canvas_name;canvas_variation_id;canvas_variation_name;canvas_step_id;canvas_step_name;send_id;dispatch_id;sending_ip;ip_pool;bounce_reason;esp;from_domain;is_drop;int
02/09/2022 07:04;users_messages_email_Bounce;8RXnqMBU8;1662102150;NULL;NULL;NULL;NULL;0b4b93b9-6fa2-474b-8d40-72caa29ed878;TRAN_creationdecompte;7b89c1e4-7b74-4e34-a847-6402f41b6ad2;TRAN_creationdecompte;98cf6501-1bf3-44aa-90f7-0a42370f7289;TRAN_creationdecompte_email;NULL;6311aa7d85580f7a1c4b1b5db240150b;223.165.112.128;transactional_4341;550-5.1.1 The email account that you tried to reach does not exist. Please try;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
SparkPost;service.mon-marche.fr;;;;;;;;;;;;;;;;;;;;;
02/09/2022 09:37;users_messages_email_Bounce;a48afike6;1662111329;Europe/Paris;NULL;NULL;NULL;a49ecc19-cdb6-41f9-8638-1314fa239ec7;ONBO_online/offline_v1;00265cbb-1c0c-4988-8da4-746f63d19dd2;ONBO;2cddee68-59ad-41ca-b33b-fa266a1064a9;ONBO_Email-USP_online;NULL;6311ce55295abb875412f902ac555cea;223.165.114.82;marketing_3429;550 5.1.1 ...@... user does not exist;SparkPost;news.mon-marche.fr;NULL;
02/09/2022 10:44;users_messages_email_Bounce;SIKwRYK1s;1662115256;Europe/Paris;NULL;NULL;NULL;2d0ec099-e78b-4dc7-ad04-9d7ea0a7e8ce;TRAN_confirmationcommande;40cfc4d5-6657-4fad-b7ea-8a21f9f1c6ce;Variant 1;ccfeb260-4ed2-4c50-8673-345b42bb71be;TRAN_confirmationcommande_E_V1;NULL;6311ddb3955c729e84c1211f8794ef8b;223.165.112.128;transactional_4341;550 5.1.1 ...@... Recipient address rejected: ... in virtual mailbox table;SparkPost;service.mon-marche.fr;NULL;
02/09/2022 15:05;users_messages_email_Bounce;y4Hkv-iPg;1662130831;Europe/Paris;c0b42e83-d8ca-4e24-a4d6-a22b6c56ae80;020922_NEWS_ProduitsSeptembre_E_V1;529f604d-8940-4406-91d6-885b7488228b;NULL;NULL;NULL;NULL;NULL;NULL;NULL;63121a7275cb5aed2f83d1c2d178f0cd;223.165.114.82;marketing_3429;550-5.1.1 The email account that you tried to reach does not exist. Please try;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
SparkPost;news.mon-marche.fr;;;;;;;;;;;;;;;;;;;;;
02/09/2022 12:10;users_messages_email_Bounce;GFrtP3gA0;1662120370;Europe/Paris;NULL;NULL;NULL;bd58b3f5-f67a-4c30-a87a-f3c07ab7cc47;Panier abandonné V2.3;02749360-db05-4742-bcc4-e5dd258e2db8;2 hours;c3326b49-5a3c-44d8-985b-9267449ef420;Delay 2h - client existant email;NULL;6311f1ab995889e17e54186031fd6b46;223.165.114.82;marketing_3429;550 5.1.1 ...@... user does not exist;SparkPost;news.mon-marche.fr;NULL;
02/09/2022 14:19;users_messages_email_Bounce;4g8-60tfF;1662128248;Europe/Paris;NULL;NULL;NULL;0b4b93b9-6fa2-474b-8d40-72caa29ed878;TRAN_creationdecompte;7b89c1e4-7b74-4e34-a847-6402f41b6ad2;TRAN_creationdecompte;98cf6501-1bf3-44aa-90f7-0a42370f7289;TRAN_creationdecompte_email;NULL;63121075e27fd1e7b37a21ed2d3c2a96;223.165.112.128;transactional_4341;550-5.1.1 The email account that you tried to reach does not exist. Please try;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
SparkPost;service.mon-marche.fr;;;;;;;;;;;;;;;;;;;;;
02/09/2022 15:05;users_messages_email_Bounce;e8mAQtRPQ;1662130882;Europe/Paris;c0b42e83-d8ca-4e24-a4d6-a22b6c56ae80;020922_NEWS_ProduitsSeptembre_E_V1;529f604d-8940-4406-91d6-885b7488228b;NULL;NULL;NULL;NULL;NULL;NULL;NULL;63121a7275cb5aed2f83d1c2d178f0cd;223.165.114.82;marketing_3429;550 Mailbox unavailable or access denied [{base64}  IP: a.b.c.d].;SparkPost;news.mon-marche.fr;NULL;
02/09/2022 18:54;users_messages_email_Bounce;h0j446r4e;1662144798;Europe/Paris;NULL;NULL;NULL;0b4b93b9-6fa2-474b-8d40-72caa29ed878;TRAN_creationdecompte;7b89c1e4-7b74-4e34-a847-6402f41b6ad2;TRAN_creationdecompte;98cf6501-1bf3-44aa-90f7-0a42370f7289;TRAN_creationdecompte_email;NULL;6312511ab04e54fc4b243e97e2fcbd34;223.165.112.128;transactional_4341;550 5.4.1 Recipient address rejected: Access denied. AS({hex}) [PR2FRA01FT001.eop-fra01.prod.protection.outlook.com];SparkPost;service.mon-marche.fr;NULL;
02/09/2022 15:31;users_messages_email_Bounce;3pkUCO16M;1662132629;Europe/Paris;NULL;NULL;NULL;0b4b93b9-6fa2-474b-8d40-72caa29ed878;TRAN_creationdecompte;7b89c1e4-7b74-4e34-a847-6402f41b6ad2;TRAN_creationdecompte;98cf6501-1bf3-44aa-90f7-0a42370f7289;TRAN_creationdecompte_email;NULL;6312218ce035d08e4750166f3ef47ff4;223.165.112.128;transactional_4341;550-5.1.1 The email account that you tried to reach does not exist. Please try;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
SparkPost;service.mon-marche.fr;;;;;;;;;;;;;;;;;;;;;
02/09/2022 16:17;users_messages_email_Bounce;4gEGqcXGU;1662135243;Europe/Paris;NULL;NULL;NULL;0b4b93b9-6fa2-474b-8d40-72caa29ed878;TRAN_creationdecompte;7b89c1e4-7b74-4e34-a847-6402f41b6ad2;TRAN_creationdecompte;98cf6501-1bf3-44aa-90f7-0a42370f7289;TRAN_creationdecompte_email;NULL;63122bc455bc5a1ac280465286f455c7;223.165.112.128;transactional_4341;550-5.1.1 The email account that you tried to reach does not exist. Please try;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
SparkPost;service.mon-marche.fr;;;;;;;;;;;;;;;;;;;;;
02/09/2022 20:00;users_messages_email_Bounce;k1i_Xz43s;1662148576;NULL;NULL;NULL;NULL;2d0ec099-e78b-4dc7-ad04-9d7ea0a7e8ce;TRAN_confirmationcommande;40cfc4d5-6657-4fad-b7ea-8a21f9f1c6ce;Variant 1;ccfeb260-4ed2-4c50-8673-345b42bb71be;TRAN_confirmationcommande_E_V1;NULL;63125fdc21db7ea0f420e4d802bfa9f8;223.165.112.128;transactional_4341;550 5.5.0 Requested action not taken: mailbox unavailable (S{hex}). [HE1EUR02FT021.eop-EUR02.prod.protection.outlook.com];SparkPost;service.mon-marche.fr;NULL;
02/09/2022 19:50;users_messages_email_Bounce;DXGGwBDbw;1662148067;Europe/Paris;NULL;NULL;NULL;2d0ec099-e78b-4dc7-ad04-9d7ea0a7e8ce;TRAN_confirmationcommande;40cfc4d5-6657-4fad-b7ea-8a21f9f1c6ce;Variant 1;ccfeb260-4ed2-4c50-8673-345b42bb71be;TRAN_confirmationcommande_E_V1;NULL;630e5b470061ccc501e8ae14634a6178;223.165.112.128;transactional_4341;554 5.4.7 [internal] message timeout (exceeded max time, last transfail: 450 4.2.1 ...@... Recipient address rejected: this mailbox is inactive and has been disabled);SparkPost;service.mon-marche.fr;NULL;
02/09/2022 22:47;users_messages_email_Bounce;kb7WHMXXp;1662158645;Europe/Paris;NULL;NULL;NULL;0b4b93b9-6fa2-474b-8d40-72caa29ed878;TRAN_creationdecompte;7b89c1e4-7b74-4e34-a847-6402f41b6ad2;TRAN_creationdecompte;98cf6501-1bf3-44aa-90f7-0a42370f7289;TRAN_creationdecompte_email;NULL;63128732fb307b6ef3f4f8ea9a44ab8b;223.165.112.128;transactional_4341;550-5.1.1 The email account that you tried to reach does not exist. Please try;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
SparkPost;service.mon-marche.fr;;;;;;;;;;;;;;;;;;;;;
03/09/2022 07:36;users_messages_email_Bounce;DXGGwBDbw;1662190297;Europe/Paris;NULL;NULL;NULL;74a9e127-3e55-4c35-b08b-616b7aea61a5;TRAN_commandeprete-livraison;029d043a-a943-4b20-9d9c-72c4cc732547;Variant 1;dacbbe8d-d515-428c-a8f7-72b08482e8a4;TRAN_commandeprete-livraison_E_V1;NULL;630f003faf34dcf5a9cba671e49f3a31;223.165.112.128;transactional_4341;554 5.4.7 [internal] message timeout (exceeded max time, last transfail: 450 4.2.1 ...@... Recipient address rejected: this mailbox is inactive and has been disabled);SparkPost;service.mon-marche.fr;NULL;
03/09/2022 08:14;users_messages_email_Bounce;_jvlteTf5;1662192536;NULL;NULL;NULL;NULL;2d0ec099-e78b-4dc7-ad04-9d7ea0a7e8ce;TRAN_confirmationcommande;40cfc4d5-6657-4fad-b7ea-8a21f9f1c6ce;Variant 1;ccfeb260-4ed2-4c50-8673-345b42bb71be;TRAN_confirmationcommande_E_V1;NULL;63130b95713fb3b124fa07bcc23515a4;223.165.112.128;transactional_4341;550-5.1.1 The email account that you tried to reach does not exist. Please try;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
SparkPost;service.mon-marche.fr;;;;;;;;;;;;;;;;;;;;;
03/09/2022 10:04;users_messages_email_Bounce;Dg4XqdVyF;1662199235;Europe/Paris;NULL;NULL;NULL;2d0ec099-e78b-4dc7-ad04-9d7ea0a7e8ce;TRAN_confirmationcommande;40cfc4d5-6657-4fad-b7ea-8a21f9f1c6ce;Variant 1;ccfeb260-4ed2-4c50-8673-345b42bb71be;TRAN_confirmationcommande_E_V1;NULL;631325b26677a7e8e79449906f63fcc5;223.165.112.128;transactional_4341;550-5.1.1 The email account that you tried to reach does not exist. Please try;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
SparkPost;service.mon-marche.fr;;;;;;;;;;;;;;;;;;;;;
03/09/2022 10:40;users_messages_email_Bounce;i5QWvt1Mwp;1662201315;Europe/Paris;NULL;NULL;NULL;a49ecc19-cdb6-41f9-8638-1314fa239ec7;ONBO_online/offline_v1;00265cbb-1c0c-4988-8da4-746f63d19dd2;ONBO;19b24855-694c-4012-b5bd-f9993c4ae2aa;ONBO_Email-NPS_online_2;NULL;630f2b4db3e9f44ba1b832f0728f5c50;223.165.114.82;marketing_3429;554 5.4.7 [internal] message timeout (exceeded max time, last transfail: 450 4.2.1 ...@... Recipient address rejected: this mailbox is inactive and has been disabled);SparkPost;news.mon-marche.fr;NULL;
