title,overview,rating,genre,Tokenized_Overview
top gun: maverick,after more than thirty years of service as one of the navy s top aviators  and dodging the advancement in rank that would ground him  pete  maverick  mitchell finds himself training a detachment of top gun graduates for a specialized mission the likes of which no living pilot has ever seen ,83.0,  action    drama  ,"['thirti', 'year', 'servic', 'one', 'navi', 'top', 'aviat', 'dodg', 'advanc', 'rank', 'would', 'ground', 'pete', 'maverick', 'mitchel', 'find', 'train', 'detach', 'top', 'gun', 'graduat', 'special', 'mission', 'like', 'live', 'pilot', 'ever', 'seen']"
all quiet on the western front,paul baumer and his friends albert and muller  egged on by romantic dreams of heroism  voluntarily enlist in the german army  full of excitement and patriotic fervour  the boys enthusiastically march into a war they believe in  but once on the western front  they discover the soul destroying horror of world war i ,78.0,  war    drama    action  ,"['paul', 'baumer', 'friend', 'albert', 'muller', 'eg', 'romant', 'dream', 'heroism', 'voluntarili', 'enlist', 'german', 'armi', 'full', 'excit', 'patriot', 'fervour', 'boy', 'enthusiast', 'march', 'war', 'believ', 'western', 'front', 'discov', 'soul', 'destroy', 'horror', 'world', 'war']"
one way,on the run with a bag full of cash after a robbing his former crime boss and a potentially fatal wound freddy slips onto a bus headed into the unrelenting california desert  with his life slipping through his fingers  freddy is left with very few choices to survive ,67.0,  action    crime    thriller  ,"['run', 'bag', 'full', 'cash', 'rob', 'former', 'crime', 'boss', 'potenti', 'fatal', 'wound', 'freddi', 'slip', 'onto', 'bu', 'head', 'unrel', 'california', 'desert', 'life', 'slip', 'finger', 'freddi', 'left', 'choic', 'surviv']"
la novia de américa,we don t have an overview translated in english  help us expand our database by adding one ,0.0,  comedy    romance  ,"['overview', 'translat', 'english', 'help', 'us', 'expand', 'databas', 'ad', 'one']"
puss in boots,long before he even met shrek  the notorious fighter  lover and outlaw puss in boots becomes a hero when he sets off on an adventure with the tough and street smart kitty softpaws and the mastermind humpty dumpty to save his town  this is the true story of the cat  the myth  the legend    the boots ,65.0,  action    animation    adventure    comedy    family    western  ,"['long', 'even', 'met', 'shrek', 'notori', 'fighter', 'lover', 'outlaw', 'puss', 'boot', 'becom', 'hero', 'set', 'adventur', 'tough', 'street', 'smart', 'kitti', 'softpaw', 'mastermind', 'humpti', 'dumpti', 'save', 'town', 'true', 'stori', 'cat', 'myth', 'legend', 'boot']"
night at the museum: kahmunrah rises again,nick daley is following in his father s footsteps as night watchman at the american museum of natural history  so he knows what happens when the sun goes down  but when the maniacal ruler kahmunrah escapes  it is up to nick to save the museum once and for all ,70.0,  animation    comedy    family    fantasy  ,"['nick', 'daley', 'follow', 'father', 'footstep', 'night', 'watchman', 'american', 'museum', 'natur', 'histori', 'know', 'happen', 'sun', 'goe', 'maniac', 'ruler', 'kahmunrah', 'escap', 'nick', 'save', 'museum']"
jurassic world dominion,four years after the destruction of isla nublar  biosyn operatives attempt to track down maisie lockwood  while dr ellie sattler investigates a genetically engineered swarm of giant insects ,69.0,  adventure    action    science fiction  ,"['four', 'year', 'destruct', 'isla', 'nublar', 'biosyn', 'oper', 'attempt', 'track', 'maisi', 'lockwood', 'dr', 'elli', 'sattler', 'investig', 'genet', 'engin', 'swarm', 'giant', 'insect']"
spider-man: no way home,peter parker is unmasked and no longer able to separate his normal life from the high stakes of being a super hero  when he asks for help from doctor strange the stakes become even more dangerous  forcing him to discover what it truly means to be spider man ,80.0,  action    adventure    science fiction  ,"['peter', 'parker', 'unmask', 'longer', 'abl', 'separ', 'normal', 'life', 'high', 'stake', 'super', 'hero', 'ask', 'help', 'doctor', 'strang', 'stake', 'becom', 'even', 'danger', 'forc', 'discov', 'truli', 'mean', 'spider', 'man']"
prey,when danger threatens her camp  the fierce and highly skilled comanche warrior naru sets out to protect her people  but the prey she stalks turns out to be a highly evolved alien predator with a technically advanced arsenal ,78.0,  thriller    action    science fiction  ,"['danger', 'threaten', 'camp', 'fierc', 'highli', 'skill', 'comanch', 'warrior', 'naru', 'set', 'protect', 'peopl', 'prey', 'stalk', 'turn', 'highli', 'evolv', 'alien', 'predat', 'technic', 'advanc', 'arsen']"
bullet train,unlucky assassin ladybug is determined to do his job peacefully after one too many gigs gone off the rails  fate  however  may have other plans  as ladybug s latest mission puts him on a collision course with lethal adversaries from around the globe all with connected  yet conflicting  objectives on the world s fastest train ,75.0,  action    comedy    thriller  ,"['unlucki', 'assassin', 'ladybug', 'determin', 'job', 'peac', 'one', 'mani', 'gig', 'gone', 'rail', 'fate', 'howev', 'may', 'plan', 'ladybug', 'latest', 'mission', 'put', 'collis', 'cours', 'lethal', 'adversari', 'around', 'globe', 'connect', 'yet', 'conflict', 'object', 'world', 'fastest', 'train']"
